Date,Open,High,Low,Close,Adj Close,Volume
2019-06-14,27180.740234,27275.880859,27051.750000,27118.349609,27118.349609,2031083500
2019-06-17,27252.449219,27503.099609,27227.160156,27227.160156,27227.160156,1487266700
2019-06-18,27289.699219,27584.119141,27201.019531,27498.769531,27498.769531,1550614700
2019-06-19,28224.869141,28224.869141,28022.490234,28202.140625,28202.140625,2076060300
2019-06-20,28308.849609,28563.080078,28258.019531,28550.429688,28550.429688,1820185000
2019-06-21,28581.509766,28581.509766,28359.250000,28473.710938,28473.710938,2171897300
2019-06-24,28400.630859,28634.480469,28358.060547,28513.000000,28513.000000,1338833200
2019-06-25,28447.960938,28470.099609,28066.130859,28185.980469,28185.980469,1851984100
2019-06-26,28046.160156,28267.980469,27985.980469,28221.980469,28221.980469,1431402200
2019-06-27,28352.939453,28621.419922,28287.339844,28621.419922,28621.419922,1679897500
2019-06-28,28632.589844,28632.589844,28416.960938,28542.619141,28542.619141,1486688000
2019-07-02,28904.039063,28959.060547,28768.539063,28875.560547,28875.560547,2110432700
2019-07-03,28781.970703,28891.890625,28721.210938,28855.140625,28855.140625,1291301500
2019-07-04,28891.970703,29007.980469,28776.480469,28795.769531,28795.769531,928449700
2019-07-05,28785.529297,28880.580078,28714.919922,28774.830078,28774.830078,846919500
2019-07-08,28513.140625,28541.099609,28194.070313,28331.689453,28331.689453,1250874300
2019-07-09,28299.730469,28312.970703,28080.730469,28116.279297,28116.279297,1218475000
2019-07-10,28245.089844,28311.779297,28144.869141,28204.689453,28204.689453,1013012100
2019-07-11,28347.859375,28582.689453,28347.859375,28431.800781,28431.800781,1067070900
2019-07-12,28401.869141,28603.869141,28399.660156,28471.619141,28471.619141,1204492700
2019-07-15,28303.359375,28567.250000,28071.189453,28554.880859,28554.880859,1317116400
2019-07-16,28583.929688,28634.650391,28489.410156,28619.619141,28619.619141,1024681900
2019-07-17,28463.769531,28593.169922,28377.339844,28593.169922,28593.169922,950441100
2019-07-18,28393.039063,28511.650391,28376.500000,28461.660156,28461.660156,925037300
2019-07-19,28585.150391,28809.589844,28551.199219,28765.400391,28765.400391,1261012300
2019-07-22,28612.279297,28649.439453,28303.550781,28371.259766,28371.259766,1104886500
2019-07-23,28392.039063,28489.289063,28313.789063,28466.480469,28466.480469,950029300
2019-07-24,28578.140625,28764.500000,28515.919922,28524.039063,28524.039063,1075821900
2019-07-25,28575.490234,28628.509766,28517.009766,28594.300781,28594.300781,974264600
2019-07-26,28406.070313,28487.640625,28338.300781,28397.740234,28397.740234,1320699900
2019-07-29,28262.800781,28302.660156,27945.410156,28106.410156,28106.410156,1563572300
2019-07-30,28059.820313,28274.650391,28059.820313,28146.500000,28146.500000,1147561000
2019-07-31,27931.279297,27939.720703,27701.439453,27777.750000,27777.750000,1287084400
2019-08-01,27582.210938,27754.039063,27495.890625,27565.699219,27565.699219,1736444000
2019-08-02,26950.529297,27043.460938,26868.960938,26918.580078,26918.580078,2317609200
2019-08-05,26480.470703,26502.609375,26086.859375,26151.320313,26151.320313,2120745300
2019-08-06,25472.429688,26042.230469,25397.349609,25976.240234,25976.240234,2751867000
2019-08-07,25977.720703,26025.439453,25738.800781,25997.029297,25997.029297,1671335000
2019-08-08,25999.449219,26317.419922,25999.449219,26120.769531,26120.769531,1658129900
2019-08-09,26278.919922,26313.779297,25939.300781,25939.300781,25939.300781,1357616900
2019-08-12,25869.480469,26069.230469,25824.720703,25824.720703,25824.720703,1200393600
2019-08-13,25536.619141,25616.710938,25270.910156,25281.300781,25281.300781,1979089800
2019-08-14,25711.099609,25717.980469,25197.380859,25302.279297,25302.279297,1915522900
2019-08-15,24945.740234,25552.130859,24899.929688,25495.460938,25495.460938,2145864600
2019-08-16,25484.960938,25798.109375,25314.269531,25734.220703,25734.220703,2022477500
2019-08-19,25994.800781,26356.220703,25994.800781,26291.839844,26291.839844,2144882700
2019-08-20,26256.539063,26347.230469,26149.400391,26231.539063,26231.539063,1822936100
2019-08-21,26160.539063,26318.130859,26075.910156,26270.039063,26270.039063,1701479200
2019-08-22,26272.910156,26288.240234,25977.669922,26048.720703,26048.720703,1780728400
2019-08-23,26057.880859,26241.220703,25940.439453,26179.330078,26179.330078,1621440900
2019-08-26,25322.000000,25692.279297,25249.509766,25680.330078,25680.330078,2475604900
2019-08-27,25715.980469,25764.609375,25581.730469,25664.070313,25664.070313,2214167200
2019-08-28,25767.080078,25830.640625,25596.080078,25615.480469,25615.480469,1462114400
